statement,originator,true_verdict,predicted_verdict,correct
"Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ‘Don’t Mess With Texas’ in New Orleans!""",Paul Stekler,half-true,true,False
"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",Newt Gingrich,half-true,pants-fire,False
"""Whether you like to admit it or not, half our general revenue goes to education.""",Mike Haridopolos,true,mostly-false,False
"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",Wayne LaPierre,mostly-true,pants-fire,False
Darryl Hicks had seven ethics violations and didn't pay most of the fines.,Mark Butler,half-true,mostly-false,False
"""The word progressive ... was created as a substitute for ‘communist’.""",Jon Voight,false,true,False
"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",Donald Trump,half-true,pants-fire,False
"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",Bloggers,mostly-false,mostly-false,True
Says Obama flip-flopped on banning handguns.,Let Freedom Ring,half-true,true,False
"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",Facebook posts,pants-fire,false,False
"""Obamacare (hit) Americans with over $500 billion in new taxes.""",U.S. Chamber of Commerce,half-true,mostly-false,False
"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""",Michael Kearns,false,mostly-false,False
"""You can go to Georgia and make about $6,000 more a year as a teacher.""",Martin Kiar,true,mostly-false,False
"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",John McCain,false,mostly-false,False
A photo of a burned cat is from the Australia wildfires.,Viral image,mostly-false,mostly-false,True
"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",Andy Gronik,half-true,mostly-false,False
"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",Newt Gingrich,mostly-true,true,False
"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",Barack Obama,half-true,true,False
"Says Beto O’Rourke is ""open to abolishing ICE.""",Ted Cruz,mostly-true,mostly-false,False
The minimum wage has risen $2.35 in the last two years. That's 31 percent.,Leonidas Raptakis,false,mostly-false,False
There is no ‘backlog’ of untested rape kits in Wisconsin.,Brad Schimel,pants-fire,mostly-false,False
"""There are 63 million abortions a year in this country.""",Jeanine Pirro,false,mostly-false,False
"Ted Cruz is ""unknown to the vast majority of Texans.""",Paul Sadler,mostly-false,mostly-false,True
"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",John McCain,true,true,True
"Children and teen suicide attempts ""skyrocketed 250% in 2020"" according to ""one study done by a hospital.""",Madison Cawthorn,mostly-false,mostly-false,True
"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",John Cornyn,mostly-true,true,False
"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",Rick Santorum,pants-fire,false,False
"A wind turbine ""could never generate as much energy as was invested in building it.""",Viral image,false,mostly-false,False
"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",Barack Obama,mostly-false,true,False
"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters.""",Fight for the Future,half-true,true,False
"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",Facebook posts,false,mostly-false,False
"""I saw my father march with Martin Luther King.""",Mitt Romney,mostly-false,false,False
"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",Cory Booker,half-true,mostly-false,False
"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",BlueNC,pants-fire,true,False
"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",Facebook posts,pants-fire,pants-fire,True
"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",Facebook posts,mostly-false,mostly-false,True
"Monkeypox is biological warfare ""against us by our governments.""",Facebook posts,false,pants-fire,False
"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",Barry DuVal,mostly-true,mostly-false,False
"""A Florida judge ruled parts of Obamacare unconstitutional.""",U.S. Chamber of Commerce,mostly-true,mostly-false,False
"""So far this year, more students have been killed in schools than soldiers in combat zones.""",Gwen Graham,mostly-true,mostly-false,False
"Say Nancy Pelosi’s net worth is $196,299,990.",Facebook posts,false,mostly-false,False
"The budget currently being debated ""significantly decreases the use of one-time resources.""",Ron Amstutz,true,true,True
"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""",Susan Latvala,false,true,False
"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",Mahmoud Ahmadinejad,false,false,True
Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.,Georgia state senators,false,mostly-false,False
"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",Bloggers,mostly-false,pants-fire,False
"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",Scott Walker,mostly-false,true,False
"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",Todd Staples,pants-fire,true,False
"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",Nathan Deal,mostly-false,true,False
"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",David Dooley,true,true,True
"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",Tweets,false,mostly-false,False
