statement,originator,true_verdict,predicted_verdict,correct
"Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ‘Don’t Mess With Texas’ in New Orleans!""",Paul Stekler,half-true,mostly-false,False
"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",Newt Gingrich,half-true,pants-fire,False
"""Whether you like to admit it or not, half our general revenue goes to education.""",Mike Haridopolos,true,mostly-false,False
"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",Wayne LaPierre,mostly-true,pants-fire,False
Darryl Hicks had seven ethics violations and didn't pay most of the fines.,Mark Butler,half-true,true,False
"""The word progressive ... was created as a substitute for ‘communist’.""",Jon Voight,false,true,False
"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",Donald Trump,half-true,pants-fire,False
"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",Bloggers,mostly-false,mostly-false,True
Says Obama flip-flopped on banning handguns.,Let Freedom Ring,half-true,true,False
"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",Facebook posts,pants-fire,false,False
"""Obamacare (hit) Americans with over $500 billion in new taxes.""",U.S. Chamber of Commerce,half-true,mostly-false,False
"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""",Michael Kearns,false,mostly-false,False
"""You can go to Georgia and make about $6,000 more a year as a teacher.""",Martin Kiar,true,mostly-false,False
"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",John McCain,false,mostly-false,False
A photo of a burned cat is from the Australia wildfires.,Viral image,mostly-false,mostly-false,True
"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",Andy Gronik,half-true,mostly-false,False
"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",Newt Gingrich,mostly-true,true,False
"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",Barack Obama,half-true,true,False
"Says Beto O’Rourke is ""open to abolishing ICE.""",Ted Cruz,mostly-true,true,False
The minimum wage has risen $2.35 in the last two years. That's 31 percent.,Leonidas Raptakis,false,mostly-false,False
There is no ‘backlog’ of untested rape kits in Wisconsin.,Brad Schimel,pants-fire,mostly-false,False
"""There are 63 million abortions a year in this country.""",Jeanine Pirro,false,false,True
"Ted Cruz is ""unknown to the vast majority of Texans.""",Paul Sadler,mostly-false,mostly-false,True
"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",John McCain,true,true,True
"Children and teen suicide attempts ""skyrocketed 250% in 2020"" according to ""one study done by a hospital.""",Madison Cawthorn,mostly-false,mostly-false,True
"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",John Cornyn,mostly-true,true,False
"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",Rick Santorum,pants-fire,false,False
"A wind turbine ""could never generate as much energy as was invested in building it.""",Viral image,false,mostly-false,False
"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",Barack Obama,mostly-false,true,False
"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters.""",Fight for the Future,half-true,true,False
"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",Facebook posts,false,false,True
"""I saw my father march with Martin Luther King.""",Mitt Romney,mostly-false,false,False
"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",Cory Booker,half-true,mostly-false,False
"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",BlueNC,pants-fire,true,False
"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",Facebook posts,pants-fire,mostly-false,False
"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",Facebook posts,mostly-false,mostly-false,True
"Monkeypox is biological warfare ""against us by our governments.""",Facebook posts,false,pants-fire,False
"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",Barry DuVal,mostly-true,mostly-false,False
"""A Florida judge ruled parts of Obamacare unconstitutional.""",U.S. Chamber of Commerce,mostly-true,mostly-false,False
"""So far this year, more students have been killed in schools than soldiers in combat zones.""",Gwen Graham,mostly-true,mostly-false,False
"Say Nancy Pelosi’s net worth is $196,299,990.",Facebook posts,false,mostly-false,False
"The budget currently being debated ""significantly decreases the use of one-time resources.""",Ron Amstutz,true,true,True
"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""",Susan Latvala,false,true,False
"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",Mahmoud Ahmadinejad,false,false,True
Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.,Georgia state senators,false,mostly-false,False
"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",Bloggers,mostly-false,pants-fire,False
"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",Scott Walker,mostly-false,mostly-false,True
"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",Todd Staples,pants-fire,true,False
"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",Nathan Deal,mostly-false,true,False
"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",David Dooley,true,true,True
"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",Tweets,false,mostly-false,False
"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",Tammy Baldwin,mostly-false,mostly-false,True
"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",Marty Beil,mostly-false,mostly-false,True
Suzanne Bonamici votes with her party a partisan 98 percent of the time.,Rob Cornilles,half-true,mostly-false,False
"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",Viral image,false,mostly-false,False
"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",National Republican Congressional Committee,mostly-false,mostly-false,True
"""DEP has 2,812 employees, the lowest level since the mid-’80s.""",Jeff Tittel,half-true,true,False
"The IRS is ""going to be in charge of our health care.""",Michele Bachmann,false,mostly-false,False
"""This year West Virginia produced more AmeriCorps members than any other state.""",Joe Manchin,true,mostly-false,False
"""I've taken on the federal government and won.""",Jeff Kottkamp,true,mostly-false,False
"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""",Tom Niehaus,true,true,True
"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",Donald Trump,pants-fire,true,False
"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",Charlie Kirk,mostly-false,true,False
"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",Robin Vos,mostly-true,mostly-false,False
"""Registered Republican not allowed to vote.""",Viral image,false,false,True
"Says Bernie Sanders ""is the most popular politician in America today.""",Mike Crute,mostly-true,mostly-false,False
"""On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded"" and ""as Bush's budget chief, Portman oversaw a spending spree that doubled the deficit.""",Lee Fisher,half-true,mostly-false,False
"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",Hillary Clinton,mostly-true,true,False
"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",Hillary Clinton,mostly-false,mostly-false,True
"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""",Chris Christie,half-true,mostly-false,False
"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""",Catherine Cortez Masto,mostly-true,true,False
"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""",Mitt Romney,half-true,mostly-false,False
"""Over half of the black workers in this country earn less"" than $15 an hour.",Bernie Sanders,mostly-true,mostly-false,False
"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",Chris Christie,false,mostly-false,False
"Says John Wayne said, ""If you don’t want an American flag flying in your town square or at your school, then why the hell are you living in the US?""",Viral image,false,false,True
"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",Barack Obama,false,mostly-false,False
"Twenty million Americans are ""out of work.""",Tom Marino,half-true,mostly-false,False
"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""",Brendan Doherty,true,mostly-false,False
"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",Sean Spicer,pants-fire,true,False
"Texas is ""50th in the nation in mental health care access.""",Beto O'Rourke,mostly-true,mostly-false,False
"Quotes Ronald Reagan as saying, ""Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.""",Viral image,false,mostly-false,False
"""Nobody's addicted to"" marijuana.",John Morgan,false,true,False
"""It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.""",Facebook posts,half-true,mostly-false,False
"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""",Jay Nixon,true,true,True
"""Austin’s the fastest-growing city in the country the last five years.""",Tim Finchem,mostly-true,true,False
"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""",George Will,half-true,true,False
"""Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.""",Facebook posts,false,mostly-false,False
"""The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts to the wealthiest few.""",Veronica Escobar,half-true,true,False
"Says Sen. Luther Olsen, his recall opponent, supported the sale of state-owned power plants ""not to the highest bidder, but to the biggest donors"" with no oversight.",Fred Clark,mostly-false,mostly-false,True
"""Ford is moving all of their small-car production to Mexico.""",Donald Trump,mostly-true,mostly-false,False
"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are ""dozens more that did not get caught by the Border Patrol.""",Duncan Hunter,pants-fire,mostly-false,False
"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",David Miliband,mostly-true,true,False
"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.""",Rush Limbaugh,pants-fire,false,False
"""Military arrests former President George W. Bush.""",Viral image,pants-fire,false,False
"Says 50 percent of millennials don’t associate with ""any political party.""",Rock the Vote,half-true,true,False
"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Gingrey has presented zero.""",Paul Broun,half-true,mostly-false,False
"Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.""",Jeb Bush,mostly-true,true,False
Says Mitt Romney asked for a waiver from federal welfare rules.,Rahm Emanuel,mostly-false,mostly-false,True
"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",Rob Portman,half-true,mostly-false,False
"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",Denny Hoskins,mostly-false,true,False
"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",Rebecca Kleefisch,half-true,true,False
"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",Scott Walker,mostly-false,true,False
"""Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.""",Robert Healey,mostly-false,mostly-false,True
"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",Michele Bachmann,mostly-true,true,False
"David Dewhurst has a ""record of promoting an income tax.""",Ted Cruz,pants-fire,mostly-false,False
"""I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.""",Michael Bloomberg,half-true,true,False
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",Hans von Spakovsky,half-true,mostly-false,False
"""No doctors who went to an American medical school will be accepting Obamacare.""",Ann Coulter,pants-fire,mostly-false,False
"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",Gilberto Hinojosa,pants-fire,mostly-false,False
"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""",Bloggers,pants-fire,false,False
Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.,Bing West,true,true,True
Says Barack Obama has played over 90 rounds of golf as president.,David Dewhurst,true,mostly-false,False
"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",Tammy Baldwin,true,true,True
"""We've done more tests in eight days than South Korea has done in eight weeks.""",Donald Trump,false,mostly-false,False
"George Allen ""voted to end Pell Grants for 84,000 students.""",Tim Kaine,mostly-true,mostly-false,False
"The DREAM Act the ""would give amnesty to over two million illegal aliens.""",RightMarch.com,false,mostly-false,False
"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""",Colin Van Ostern,mostly-false,true,False
"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.""",Charles Bass,mostly-false,true,False
"Barack Obama voted against ""born alive"" legislation in Illinois that was ""virtually identical to the federal law.""",National Right to Life Committee,true,mostly-false,False
"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",Tennessee Democratic Party,mostly-false,mostly-false,True
"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",Rick Scott,mostly-false,mostly-false,True
Photo shows Kim Jong Un’s weight loss,Viral image,false,true,False
"Says Russ Feingold ""formed his own political group to pay himself and his staff millions.""",Republican Party of Wisconsin,half-true,mostly-false,False
"""How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?""",Reader,pants-fire,mostly-false,False
"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",Rick Santorum,half-true,true,False
"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",Barack Obama,mostly-false,true,False
"""Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet"" that would require links to opposing opinions.",Chain email,half-true,mostly-false,False
"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’""",Barack Obama,true,true,True
"Ranked-choice voting ""increases voter turnout and voter engagement.""",Kelley Dragoo,mostly-false,mostly-false,True
"Says Gov. John  Kasich incorrectly claimed Ohio’s economy was 38th in the nation when he took office. ""We were sixth in the nation in terms of economic job growth.""",Ted Strickland,false,mostly-false,False
"""Out of 860 bills (Sen. Bill Nelson has) introduced in Congress, only 10 have passed.""",Republican Party of Florida,mostly-false,true,False
"Ryan Sitton’s company ""accepted over $650,000 in Obama stimulus dollars.""",Young Conservatives of Texas,false,true,False
Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,Mark Pocan,mostly-false,true,False
"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""",Thom Tillis,mostly-true,mostly-false,False
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",America's Health Insurance Plans,half-true,mostly-false,False
Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Islamic State.,Media Matters,true,true,True
"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",Barack Obama,true,true,True
"Says the photo ID law passed by North Carolina lawmakers is ""one of the nation’s most lenient voter ID laws.""",Tim Moore,mostly-false,mostly-false,True
"Says the Atlanta mayor is ""shutting the city down for"" the NBA All-Star Game weekend.",Facebook posts,false,mostly-false,False
"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",Jeanne Ives,false,mostly-false,False
"""Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.""",Viral image,half-true,mostly-false,False
"Pictures and reports of ""empty hospitals"" prove COVID-19 spread is ""fake crisis for real government planned agendas.""",Facebook posts,false,mostly-false,False
"""We have been confronted with an unexpected storm that has hit the metropolitan area.""",Nathan Deal,mostly-false,true,False
"""Taxpayers even footed the bill for Perry’s trip to a bachelor party in Las Vegas.""",Kay Bailey Hutchison,mostly-false,mostly-false,True
"""Walmart rewards everyone with $75 coupon to celebrate its 125th Anniversary""",Walmis2018.com,pants-fire,false,False
"""More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.""",Barack Obama,true,true,True
"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""",Club for Growth,false,mostly-false,False
"""I've traveled the country advocating for the FairTax ...""",Tom Graves,mostly-false,true,False
"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",Hillary Clinton,half-true,true,False
"The United Nations’ ""new world order"" agenda will create one world government with one world military and the end of national sovereignty.",Viral image,false,mostly-false,False
"Says Barack Obama has ""the worst record of any president when it comes to putting America deeper in debt.""",Reince Priebus,half-true,mostly-false,False
"""The price tag amounted to nearly $4,200 for every man, woman and child in the state.""",Steve Lonegan,mostly-false,true,False
"""NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.""",Donald Trump,mostly-false,mostly-false,True
"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",Joe Biden,half-true,mostly-false,False
"Voting-rights legislation proposed by Democrats in Congress called H.R. 1 ""would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.""",Doug LaMalfa,half-true,mostly-false,False
"Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly ""discovered"" provisions in state law.",Media Trackers,mostly-false,mostly-false,True
"The Republican-authored state budget includes a provision ""forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year.""",Dave Hansen,false,mostly-false,False
"""Joe Biden says Americans can only celebrate the Fourth of July if he says so.""",Facebook posts,false,mostly-false,False
"Says Sarah Huckabee Sanders tweeted, ""It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?""",Viral image,false,mostly-false,False
"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",Lindsey Graham,false,mostly-false,False
"Chinese workers made ""90,000 banners"" for Trump’s 2020 re-election campaign and the president chose to hire ""Chinese workers instead of American workers""",Viral image,mostly-false,false,False
"Raising the national minimum wage to $15 per hour ""would destroy up to 3.7 million jobs.""",Kevin McCarthy,false,mostly-false,False
"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",Republican National Committee,half-true,mostly-false,False
"Says Texas GOP platform calls for end to teaching ""critical thinking"" in public schools.",Gail Collins,half-true,mostly-false,False
"""At the PEAK of slavery in 1860, only 1.4% of Americans owned slaves. What your history books (don't) tell you is that 3,000 blacks owned a total of 20,000 slaves the same year.""",Viral image,false,mostly-false,False
"On Virginia’s new marijuana law: ""You can have up to one pound with only a $25 fine.""",Kirk Cox,true,mostly-false,False
"""FDA finally admits dental fillings are toxic.""",Bloggers,mostly-false,mostly-false,True
"The projected $1.8 billion state budget shortfall for 2015-’17 ""actually comes from an assumption based on zero growth. That just doesn’t happen.""",Scott Walker,mostly-false,mostly-false,True
Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,George Barker,mostly-false,true,False
"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years.""",Tom Steyer,half-true,mostly-false,False
"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks.",John McCain,mostly-false,true,False
"""Nobody is leaving Memphis. That's a myth.""",Joe Brown,pants-fire,true,False
"""Corona is so bad, this guy died twice!""",Viral image,false,false,True
"Says ""when I voted against [an increase in the minimum wage], it was in the 80s.""",Joseph Kyrillos,false,true,False
"Says Alexandria Ocasio-Cortez tweeted, ""Let’s begin ‘The Purge’ to roundup all Conservative traitors.""",Viral image,pants-fire,false,False
"Says Goodwill used the pandemic ""to fire all of their employees instead of laying them off.""",Facebook posts,false,mostly-false,False
"""I come from the poorest ZIP code in San Antonio.""",Lupe Valdez,mostly-true,true,False
"""Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",Facebook posts,pants-fire,false,False
"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",Ann Coulter,pants-fire,pants-fire,True
"""Trump supporters tackled an Antifa thug, unmasked him, duct taped him to an electrical box.""",Viral image,false,mostly-false,False
"A ""regulatory thing"" means you can’t show someone drinking beer on camera.",Heineken,mostly-true,true,False
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",Donald Trump,half-true,true,False
"""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""",Facebook posts,pants-fire,mostly-false,False
"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",Occupy Democrats,pants-fire,mostly-false,False
"Says that U.S. Sen. Marco Rubio says troops are leaving Iraq ""too fast.""",WrongWayRubio.com,true,true,True
"The cap-and-trade bill will mean ""2 million jobs lost.""",EnergyCitizens.org,mostly-false,mostly-false,True
"Veterans should vote Republican ""because the damn Democrats blocked the VA Healthcare bill again.""",Bloggers,pants-fire,mostly-false,False
"Says his amendment on a budget bill ""would have helped get kids back in school after teachers were vaccinated. Every single Senate Democrat voted against it.""",Roy Blunt,half-true,mostly-false,False
Queens voters received pre-marked ballots for Joe Biden.,Tweets,false,mostly-false,False
"Matt Dolan sponsored Michael Bloomberg's ""red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.""",Ohio Gun Owners,false,mostly-false,False
"""America is No. 1 in wind power.""",Barack Obama,mostly-true,true,False
