statement_id,statement,true_verdict,most_common_verdict,consistency_rate,accuracy_rate,entropy,unique_verdicts,distribution
34,"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""...",mostly-true,half-true,0.5333333333333333,0.0,0.9967916319816366,2,"{'half-true': 8, 'mostly-false': 7}"
35,"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the b...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
36,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't ...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
37,"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking devi...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
38,"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""wa...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
39,"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
40,"On new dollar coins, ""'In God We Trust' is gone!""...",false,false,1.0,1.0,0.0,1,{'false': 15}
41,"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker....",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
42,"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during t...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
43,"African-Americans don't use drugs at a higher level than whites but ""wind up going to prison six tim...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
44,"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
45,"""This year, the federal government will have more revenue than any year in the history of our countr...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
46,Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell....,pants-fire,false,1.0,0.0,0.0,1,{'false': 15}
47,"""59 percent of Americans today believe that Barack Obama is still a Muslim.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
48,The average age of planes in the Qatar Airways fleet is about four years while Delta Air Lines flies...,mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
49,"Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
50,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by ...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
51,"""Whether you like to admit it or not, half our general revenue goes to education.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
52,"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us wi...",mostly-true,pants-fire,0.8,0.0,0.7219280948873623,2,"{'mostly-false': 3, 'pants-fire': 12}"
53,Darryl Hicks had seven ethics violations and didn't pay most of the fines....,half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
54,"""The word progressive ... was created as a substitute for ‘communist’.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
55,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four time...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
56,"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious f...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
57,Says Obama flip-flopped on banning handguns....,half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
58,"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan....",pants-fire,false,1.0,0.0,0.0,1,{'false': 15}
59,"""Obamacare (hit) Americans with over $500 billion in new taxes.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
60,"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
61,"""You can go to Georgia and make about $6,000 more a year as a teacher.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
62,"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisitio...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
63,A photo of a burned cat is from the Australia wildfires....,mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
64,"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
65,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t ...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
66,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and tol...",half-true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
67,"Says Beto O’Rourke is ""open to abolishing ICE.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
68,The minimum wage has risen $2.35 in the last two years. That's 31 percent....,false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
69,There is no ‘backlog’ of untested rape kits in Wisconsin....,pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
70,"""There are 63 million abortions a year in this country.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
71,"Ted Cruz is ""unknown to the vast majority of Texans.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
72,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran with...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
73,"Children and teen suicide attempts ""skyrocketed 250% in 2020"" according to ""one study done by a hosp...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
74,"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
75,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas....",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
76,"A wind turbine ""could never generate as much energy as was invested in building it.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
77,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 per...",mostly-false,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
78,"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling Califo...",half-true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
79,"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
80,"""I saw my father march with Martin Luther King.""...",mostly-false,false,0.8,0.2,0.7219280948873623,2,"{'false': 12, 'mostly-false': 3}"
81,"Says 2012 was the ""first year in American history that more minorities are being born than people in...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
82,"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carol...",pants-fire,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
83,"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
84,"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
85,"Monkeypox is biological warfare ""against us by our governments.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
86,"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our cru...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
87,"""A Florida judge ruled parts of Obamacare unconstitutional.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
88,"""So far this year, more students have been killed in schools than soldiers in combat zones.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
89,"Say Nancy Pelosi’s net worth is $196,299,990....",false,mostly-false,0.9333333333333333,0.06666666666666667,0.35335933502142136,2,"{'mostly-false': 14, 'false': 1}"
90,"The budget currently being debated ""significantly decreases the use of one-time resources.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
91,"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
92,"It's ""not true"" that since he's been the president, executions in Iran have increased by four times....",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
93,Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatali...,false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
94,"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic rac...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
95,"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
96,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely de...",pants-fire,mostly-true,0.9333333333333333,0.0,0.35335933502142136,2,"{'mostly-true': 14, 'mostly-false': 1}"
97,"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Comm...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
98,"""We have to recognize that our salaries for faculty are the lowest in New England with the exception...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
99,"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
100,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
101,"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correc...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
102,Suzanne Bonamici votes with her party a partisan 98 percent of the time....,half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
103,"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born....",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
104,"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase sin...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
105,"""DEP has 2,812 employees, the lowest level since the mid-’80s.""...",half-true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
106,"The IRS is ""going to be in charge of our health care.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
107,"""This year West Virginia produced more AmeriCorps members than any other state.""...",true,mostly-true,0.6666666666666666,0.0,0.9182958340544896,2,"{'mostly-true': 10, 'mostly-false': 5}"
108,"""I've taken on the federal government and won.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
109,"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General ...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
110,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
111,"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senato...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
112,"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were p...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
113,"""Registered Republican not allowed to vote.""...",false,false,1.0,1.0,0.0,1,{'false': 15}
114,"Says Bernie Sanders ""is the most popular politician in America today.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
115,"""On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded"" and ""as Bush's budg...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
116,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""un...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
117,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
118,"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
119,"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
120,"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
121,"""Over half of the black workers in this country earn less"" than $15 an hour....",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
122,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doct...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
123,"Says John Wayne said, ""If you don’t want an American flag flying in your town square or at your scho...",false,mostly-false,0.8,0.2,0.7219280948873623,2,"{'mostly-false': 12, 'false': 3}"
124,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not ...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
125,"Twenty million Americans are ""out of work.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
126,"""David Cicilline was the state representative who opposed tough mandatory sentences for those convic...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
127,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
128,"Texas is ""50th in the nation in mental health care access.""...",mostly-true,mostly-false,0.7333333333333333,0.26666666666666666,0.8366407419411672,2,"{'mostly-true': 4, 'mostly-false': 11}"
129,"Quotes Ronald Reagan as saying, ""Keep voting Democrat ... One day they will restrict your freedoms, ...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
130,"""Nobody's addicted to"" marijuana....",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
131,"""It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). Wh...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
132,"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
133,"""Austin’s the fastest-growing city in the country the last five years.""...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
134,"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""...",half-true,mostly-false,0.6666666666666666,0.3333333333333333,0.9182958340544896,2,"{'mostly-false': 10, 'half-true': 5}"
135,"""Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.""...",false,mostly-false,0.8666666666666667,0.0,0.5665095065529053,2,"{'mostly-false': 13, 'mostly-true': 2}"
136,"""The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts ...",half-true,mostly-false,0.5333333333333333,0.0,0.9967916319816366,2,"{'mostly-false': 8, 'mostly-true': 7}"
137,"Says Sen. Luther Olsen, his recall opponent, supported the sale of state-owned power plants ""not to ...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
138,"""Ford is moving all of their small-car production to Mexico.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
139,"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
140,"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentra...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
141,"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segment...",pants-fire,false,1.0,0.0,0.0,1,{'false': 15}
142,"""Military arrests former President George W. Bush.""...",pants-fire,false,1.0,0.0,0.0,1,{'false': 15}
143,"Says 50 percent of millennials don’t associate with ""any political party.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
144,"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Ging...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
145,"Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more j...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
146,Says Mitt Romney asked for a waiver from federal welfare rules....,mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
147,"Says the health care reform bill was paid for, in part, by taking money from students and the studen...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
148,"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the for...",mostly-false,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
149,"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per pers...",half-true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
150,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because...",mostly-false,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
151,"""Of the states that have a lieutenant governor, many are currently discussing the need for such an o...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
152,"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently a...",mostly-true,mostly-false,0.9333333333333333,0.0,0.35335933502142136,2,"{'mostly-false': 14, 'half-true': 1}"
153,"David Dewhurst has a ""record of promoting an income tax.""...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
154,"""I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.""...",half-true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
155,"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two yea...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
156,"""No doctors who went to an American medical school will be accepting Obamacare.""...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
157,"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
158,"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""...",pants-fire,false,1.0,0.0,0.0,1,{'false': 15}
159,Seventy-five percent of the young adults in this country are not mentally or physically fit to serve...,true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
160,Says Barack Obama has played over 90 rounds of golf as president....,true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
161,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community....",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
162,"""We've done more tests in eight days than South Korea has done in eight weeks.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
163,"George Allen ""voted to end Pell Grants for 84,000 students.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
164,"The DREAM Act the ""would give amnesty to over two million illegal aliens.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
165,"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""...",mostly-false,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
166,"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the...",mostly-false,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
167,"Barack Obama voted against ""born alive"" legislation in Illinois that was ""virtually identical to the...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
168,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
169,"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
170,Photo shows Kim Jong Un’s weight loss...,false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
171,"Says Russ Feingold ""formed his own political group to pay himself and his staff millions.""...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
172,"""How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?""...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
173,"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because ...",half-true,half-true,1.0,1.0,0.0,1,{'half-true': 15}
174,"Says Jonathan Gruber was ""some adviser who never worked on our staff.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
175,"""Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet"" ...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
176,"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it...",true,mostly-false,0.4666666666666667,0.0,1.5058231002082845,3,"{'mostly-true': 5, 'mostly-false': 7, 'half-true': 3}"
177,"Ranked-choice voting ""increases voter turnout and voter engagement.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
178,Says Gov. John  Kasich incorrectly claimed Ohio’s economy was 38th in the nation when he took office...,false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
179,"""Out of 860 bills (Sen. Bill Nelson has) introduced in Congress, only 10 have passed.""...",mostly-false,mostly-true,0.6666666666666666,0.3333333333333333,0.9182958340544896,2,"{'mostly-false': 5, 'mostly-true': 10}"
180,"Ryan Sitton’s company ""accepted over $650,000 in Obama stimulus dollars.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
181,Says withdrawing troops from Afghanistan could save the U.S. $50 billion....,mostly-false,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
182,"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
183,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of healt...",half-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
184,Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Is...,true,mostly-true,0.9333333333333333,0.0,0.35335933502142136,2,"{'mostly-true': 14, 'mostly-false': 1}"
185,"John McCain wants to ""give oil companies another $4-billion"" in tax breaks....",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
186,"Says the photo ID law passed by North Carolina lawmakers is ""one of the nation’s most lenient voter ...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
187,"Says the Atlanta mayor is ""shutting the city down for"" the NBA All-Star Game weekend....",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
