statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""25 percent of all drug-related fatal vehicle accidents in the U.S. involve marijuana.""",5.959183673469388,0.19991494790174602,49,1.0,half-true
"""28.2 million Americans are still waiting under Obamacare and remain uninsured!""",6.0,0.0,41,1.0,half-true
"""30,000 Americans a year die waiting for health care because of the cost.""",5.0,0.0,54,1.0,half-true
"""30,000 Arizonans may have no choice"" on Affordable Care Act coverage.",6.0,0.0,61,1.0,mostly-true
"""300,000 Floridians have lost their health insurance"" as a result of Obamacare.",6.0,0.0,42,1.0,false
"""300,000 Floridians will lose their current health plans"" because of Obamacare, a plan Alex Sink supports.",5.072727272727272,0.2620817977022988,55,1.0,half-true
"""4.7 million people have lost their insurance in 32 states"" due to Obamacare.",6.0,0.0,55,1.0,mostly-false
"""400,000 Oregonians have gained access to health care"" through the Affordable Care Act.",4.0,0.0,58,1.0,half-true
"""43,000 people are going to be kicked out of nursing homes or denied nursing home entrance"" if the Texas House version of the state budget passes into law.",6.0,0.0,56,1.0,mostly-false
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",5.0,0.0,52,1.0,true
"""500,000 people have signed up for #Obamacare.""",5.0,0.0,53,1.0,half-true
"""53 percent of Americans cut back on their health care in the last year because of costs.""",6.0,0.0,48,1.0,half-true
"""60 percent of all Americans do not want to see Planned Parenthood defunded.""",5.2444444444444445,0.43461349368017643,45,1.0,true
"""7 million more Americans are uninsured now than when President Trump was elected.""",5.0,0.0,49,1.0,half-true
"""70 percent of Americans believe in improved and expanded Medicare for All.""",5.12962962962963,0.3390495203045245,54,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",6.0,0.0,50,1.0,mostly-false
"""74 percent of Republicans support the Affordable Care Act.""",6.0,0.0,50,1.0,false
"""75 percent of the Obamacare tax falls on the middle class.""",6.0,0.0,55,1.0,false
"""8.5 million Americans have gotten rebate checks because their insurance companies were spending too much money on executive bonuses and administrative costs and not enough on health care.""",5.0,0.0,58,1.0,mostly-true
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",6.0,0.0,51,1.0,mostly-true
"""80% of children born in developing countries die of cancer each year.""",3.066666666666667,0.2522624895547565,45,1.0,mostly-false
"""83% of doctors have considered leaving the profession because of #Obamacare.""",5.96078431372549,0.1960392117639214,51,1.0,false
"""95% of over-the-counter pharmaceuticals"" in the U.S. come from China.",6.0,0.0,52,1.0,false
"""A California health care CEO is promising to reduce our prescription drug costs.""",6.0,0.0,44,1.0,mostly-false
"""A Florida judge ruled parts of Obamacare unconstitutional.""",5.979166666666667,0.14433756729740635,48,1.0,mostly-true
"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman.""",5.0,0.0,47,1.0,mostly-true
"""A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.""",4.0,0.0,46,1.0,pants-fire
"""A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage.""",5.0,0.0,50,1.0,mostly-true
"""A couple of debates ago, (Donald Trump) said if you don’t support socialized health care, you’re heartless.""",6.0,0.0,55,1.0,pants-fire
"""A family of four can make up to $88,000 a year and still get a subsidy for health insurance"" under the new federal health care law.",6.0,0.0,50,1.0,true
"""A government panel that didn't include cancer specialists says women shouldn't  receive mammograms until age 50...If government takes over health care,  recommendations like these could become the law for all kinds of diseases.""",5.25,0.4369314487526513,56,1.0,pants-fire
"""A large number of the uninsured earn $75,000 or more a year.""",6.0,0.0,51,1.0,half-true
"""A lot of people are still dealing with lack of access to health care. There are counties out there, in my former Senate district, that didn’t have doctors and providers.""",4.0,0.0,44,1.0,half-true
"""A lot of the ideas in terms of the (health insurance) exchange, just being able to pool and improve the purchasing power of individuals in the insurance market, that originated from the Heritage Foundation.""",5.0,0.0,52,1.0,mostly-true
"""A majority of Americans still oppose this health care bill.""",6.0,0.0,47,1.0,mostly-true
"""A majority of Wisconsinites opposed the government takeover of health care. But Russ Feingold voted for it anyway.""",6.0,0.0,54,1.0,false
"""A million people … could get health insurance right away"" if Texas expanded Medicaid under Obamacare.",4.333333333333333,0.47639306734033104,48,1.0,true
"""A new poll shows 62 percent support the president's plan to reform health care. That means ... letting you choose between keeping the private insurance you have and a public health insurance plan.""",6.0,0.0,53,1.0,false
"""A salesclerk at Hobby Lobby who needs contraception … is not going to get that service through her employer’s health care plan because her employer doesn’t think she should be using contraception.""",6.0,0.0,52,1.0,mostly-false
"""A shocking 20 veterans are committing suicide each and every day, especially our older veterans.""",6.0,0.0,43,1.0,true
"""A single mother of two can’t qualify for basic healthcare through Medicaid if she makes more than $3,504 dollars a year.""",6.0,0.0,39,1.0,mostly-true
"""A single parent with a couple kids can easily get $35,000 a year"" in public assistance in Wisconsin.",5.0,0.0,53,1.0,mostly-false
"""A small majority of Americans don’t think they like the Affordable Care Act, but a large majority of Americans don’t want to do away with the protections that are in the Affordable Care Act.""",3.7547169811320753,0.43437224276306946,53,1.0,mostly-true
"""A strong bipartisan majority"" in the House of Representatives ""voted to defund Obamacare.""",6.0,0.0,51,1.0,false
"""A study by the University of Virginia pulls back the curtain on Medicaid’s tragically bad outcomes, including ‘increased risk of adjusted mortality.’""",6.0,0.0,46,1.0,half-true
"""A third of all the young people in America are not in America today because of abortion, because one in three pregnancies end in abortion.""",5.978260869565218,0.14744195615489708,46,1.0,false
"""ADHD does not exist.""",4.211538461538462,0.4123837191561249,52,1.0,false
"""Abortion is the second-most conducted surgical procedure in this country.""",6.0,0.0,57,1.0,pants-fire
"""Abortion providers like Planned Parenthood do little other than provide abortions.""",5.0,0.0,59,1.0,pants-fire
"""Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood.""",6.0,0.0,51,1.0,false
"""About 8 out of 10 favor changing Obamacare significantly or replacing it altogether.""",6.0,0.0,43,1.0,mostly-true
"""According to (Barack) Obama’s newest unconstitutionally enacted law, health care professionals are now required to violate HIPAA privacy laws and submit medical data to the government,"" which is ""then used as justification for gun confiscation.""",4.137254901960785,0.3475403771153651,51,1.0,false
"""According to Congress, travel nurses need a pay cap.”",6.0,0.0,51,1.0,false
"""According to a recent Congressional Budget Office report, under Obamacare, 7 million people will lose their employer-sponsored insurance.""",6.0,0.0,46,1.0,mostly-false
"""According to recent reports, a group of death panels organized under Obamacare ordered their first execution.""",2.702127659574468,0.4622672677434689,47,1.0,pants-fire
"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""",5.0,0.0,60,1.0,true
"""According to the Congressional Budget Office, repealing Obamacare would increase the budget deficit.""",5.0,0.0,55,1.0,mostly-true
"""According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates"" of the health care bill.",6.0,0.0,42,1.0,mostly-false
"""Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.""",6.0,0.0,50,1.0,mostly-true
"""Actually, on some procedures, you're more likely to die if you're on Medicaid than if you're uninsured.""",6.0,0.0,46,1.0,mostly-false
"""African-American children are 500 percent more likely to die from asthma than white kids.""",6.0,0.0,54,1.0,true
"""After Texas cut"" its ""two-year family planning budget by $73 million, one in four clinics closed their doors.""",4.541666666666667,0.5035336128708591,48,1.0,mostly-true
"""After a decade of progress, the rate of uninsured children is now rising.""",5.318181818181818,0.47115529818794455,44,1.0,mostly-true
"""All non-US citizens, illegal or not, will be provided with free health care services.""",3.0,0.0,58,1.0,pants-fire
"""All of the records, as far as I know, about what we did with health care, those are already available.""",6.0,0.0,36,1.0,mostly-false
"""All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.""",6.0,0.0,49,1.0,true
"""All the Democrats on the entire stage — every Democratic candidate said they want to give free health care to illegals.""",6.0,0.0,58,1.0,mostly-false
"""All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board.""",5.0,0.0,44,1.0,false
"""Almost 1 million children ... have no health insurance in this state.""",5.018518518518518,0.13608276348795426,54,1.0,true
"""Almost every day another 9/11 survivor or responder dies from a 9/11-related cancer.""",3.0416666666666665,0.20194093652345882,48,0.041666666666666664,mostly-false
"""Already, the Affordable Care Act is helping to slow the growth of (Medicare’s) health care costs.""",4.236363636363636,0.42876378559573314,55,1.0,half-true
"""Americans are traveling to Canada to pay 12 times less for insulin than they would here in the US.""",6.0,0.0,49,1.0,half-true
"""Americans increasingly want (the Affordable Care Act) to be repealed.""",6.0,0.0,41,1.0,mostly-false
"""Americans who get their insurance through the workplace, cost savings could be as much as $3,000 less per employee than if we do nothing.""",5.0,0.0,53,1.0,half-true
"""Americans will get $1.1 B in rebates from health insurance companies this year cuz of a provision I wrote in the ACA.”",5.0,0.0,45,1.0,mostly-true
"""Amniocentesis, does, in fact, result more often than not in this country in abortion.""",6.0,0.0,48,1.0,false
"""Amy, I looked online at your (health care) plan. It’s two paragraphs.""",5.03921568627451,0.19603921176392136,51,1.0,false
"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”",6.0,0.0,44,1.0,half-true
"""And this would be the first year, if everything holds true, we will spend over $10 billion of our state budget on Medicaid out of the $28 billion budget.""",5.041666666666667,0.20194093652345885,48,1.0,mostly-true
"""Another one he should veto is the SCHIP program, which he should say 'Take the C out of, because now it's for everybody, like every other entitlement program.'""",6.0,0.0,51,1.0,false
"""Any government-run 'public' plan ... creates an entitlement that will cost another $1 trillion over the next 10 years.""",6.0,0.0,54,1.0,half-true
"""Any government-run 'public' plan ... forces more employers to drop employee coverage due to rising costs and pay an additional 8% payroll tax for each worker.""",6.0,0.0,65,1.0,mostly-false
"""Anyone can die of a toothache.""",6.0,0.0,52,1.0,true
"""As a result of Obamacare, we are becoming something of a part-time employment country.""",6.0,0.0,44,1.0,false
"""As a result of the House Republican bill, the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent.""",6.0,0.0,46,1.0,half-true
"""As governor of Florida, I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent.""",6.0,0.0,55,1.0,half-true
"""As has been noted by many observers, including Bill Clinton's former secretary of labor, my plan does more than anybody to reduce costs.""",6.0,0.0,47,1.0,false
"""As many as 22,000 Americans die each year because they don’t have health insurance.""",5.0,0.0,56,1.0,half-true
"""At (Mike Braun’s) company, the deductible on his health care is $10,000.""",6.0,0.0,51,1.0,mostly-true
"""At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls.""",5.0,0.0,55,1.0,mostly-true
"""Back door gun control is in full effect in the United States"" due to ""Obama’s Environmental Protection Agency.""",5.0,0.0,53,1.0,pants-fire
"""Back when I was studying it, two out of three families that ended up in bankruptcy after a serious medical problem had health insurance.""",4.622222222222222,0.4903101471559,45,1.0,mostly-true
"""Barack Hussein Obama will … force doctors to assist homosexuals in buying surrogate babies.""",3.0,0.0,48,1.0,pants-fire
"""Barack Obama's health care bill is nothing new. Mitt Romney signed one just like it four years before.""",6.0,0.0,52,1.0,mostly-true
"""Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether.""",6.0,0.0,54,1.0,mostly-false
"""Baseball and insurance are the only industries exempt from antitrust laws.""",6.0,0.0,45,1.0,false
"""Because of Barack Obama 32 million new people will have healthcare.""",5.0,0.0,49,1.0,mostly-true
"""Because of Obamacare, Medicare is going broke.""",5.0,0.0,54,1.0,pants-fire
"""Because of Obamacare, you have so many part-time jobs.""",5.0,0.0,49,1.0,false
"""Before 1973 it was illegal in the U.S. to profit off of health care.""",5.0,0.0,56,1.0,false
"""Before Congress, (Tom) Cotton got paid handsomely working for insurance companies and corporate interests.""",5.0,0.0,45,1.0,false
"""Before World War II, very few people actually had health insurance.""",5.0,0.0,58,1.0,true
"""Before the Affordable Care Act, (West Virginia’s) uninsured rate for people 64 to 19 was 29 percent. Today, it is 9 percent.""",5.0,0.0,47,1.0,mostly-true
"""Before this (federal health care) law was enacted, Florida parents ... were able to purchase inexpensive 'child-only' coverage for their children. The law’s 'consumer protections' have now eliminated that choice in Florida.""",6.0,0.0,52,1.0,false
"""Before this law was passed, Americans were told they could keep their current health care plans. After it became law, the administration issued regulations stating nearly half of Americans would lose their current plan.""",5.0,0.0,46,1.0,half-true
"""Before we even passed health care, 4 millions kids got health insurance that didn't have it before, through the Children's Health Insurance Program.""",3.0,0.0,47,1.0,half-true
"""Between the year 2000 and 2006, (insurance) premiums in this country doubled.""",5.0,0.0,42,1.0,mostly-true
"""Biden and most Democrats want to cap insulin prices at $35 per month. All 50 Republicans in the Senate are opposed to it.”",5.035714285714286,0.18725633517970777,56,1.0,mostly-false
"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",5.0,0.0,48,1.0,true
"""Bill Nelson was the deciding vote"" on the health care law.",6.0,0.0,57,1.0,mostly-false
"""Bill O'Brien's Tea Party legislature tried to repeal kindergarten and compulsory education, defund Planned Parenthood and eliminate insurance coverage for birth control.""",6.0,0.0,47,1.0,mostly-false
"""Bill White ... supports the ‘ObamaCare’ socialized medicine plan, as well as ‘Cap and Trade’ legislation that would kill thousands of Texas jobs.""",5.921568627450981,0.2715243823233532,51,1.0,pants-fire
"""Black lung cases are at a 25-year high.""",5.0,0.0,47,1.0,true
"""Blue Cross Blue Shield cancelled all their individual (health care) policies in the state of Texas, effective Dec. 31.""",6.0,0.0,48,1.0,pants-fire
"""Blue Cross Blue Shield pays your doctor a $40,000 bonus for fully vaccinating at least 100 patients under the age of two.""",3.511111111111111,0.5055250296034367,45,1.0,false
"""Boston Children’s Hospital is now offering 'gender-affirming hysterectomies' for young girls.""",6.0,0.0,51,1.0,false
"""By one leading measure, what business owners pay out in wages and salaries is now finally growing faster than what they spend on health insurance"" for the first time in 17 years.",5.0,0.0,48,1.0,mostly-true
"""By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",5.0,0.0,48,1.0,mostly-true
"""By the year 2015 (Medicaid will) take up half our budget.""",6.0,0.0,52,1.0,mostly-false
"""CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.""",6.0,0.0,54,1.0,mostly-true
"""California, New York and Massachusetts, they represent about 20 percent of the population, they get close to 36 percent of Obamacare funding. It's just simply inequitable.""",5.0,0.0,49,1.0,mostly-false
"""Canadian middle class incomes are now higher than in the United States. They are working fewer hours for more pay, … living longer on average, and facing less income inequality.""",4.0256410256410255,0.16012815380508713,39,1.0,mostly-true
"""Charlie Crist has six different positions on ObamaCare.""",6.0,0.0,51,1.0,half-true
"""Common welfare programs give income of $43,330 or $20.83 an hour.""",6.0,0.0,49,1.0,mostly-false
"""Congress has cut funding, has slashed funding, for veterans' benefits over these last years.""",5.0,0.0,50,1.0,false
"""Congressman Bill Young voted to cut taxes for millionaires and end your Medicare.""",6.0,0.0,55,1.0,mostly-false
"""Congressman Nye voted against a bill which would have defunded the $5-10 billion"" the IRS needed to implement  health care legislation.",6.0,0.0,46,1.0,false
"""Congressman Patrick Murphy voted to keep the scandal-ridden IRS in charge of enforcing Obamacare.""",6.0,0.0,50,1.0,mostly-false
"""Congressman Phil Roe hands out $1.3M government check"" from a federal program that ""he voted against.""",6.0,0.0,48,1.0,mostly-true
"""Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.""",4.775510204081633,0.42156979070537565,49,1.0,pants-fire
"""Cost of iPhone: $399
- Cost of healthcare for 1 year: $10,345
- Hearing @jasoninthehouse compare the 2 as if they are the same: priceless""",6.0,0.0,50,1.0,mostly-true
"""Cuba has a lung cancer vaccine we in the US had no access to because we sanctioned Cuba.”",6.0,0.0,49,1.0,half-true
"""Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.""",6.0,0.0,61,1.0,half-true
"""Currently, half a million Floridians have Alzheimer’s disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness.""",5.0,0.0,46,1.0,mostly-true
"""Daraprim is still underpriced, relative to its peers.""",6.0,0.0,42,1.0,false
"""Defensive medicine costs Georgia up to $14 billion a year.""",5.8478260869565215,0.3631584474730204,46,1.0,half-true
"""Democrats flip flop on pre-existing conditions.""",6.0,0.0,42,1.0,false
"""Democrats have failed to answer the most basic question of how they want to pay for the more than $1 trillion of health care spending.""",6.0,0.0,52,1.0,mostly-true
"""Dems want billions to go to Insurance Companies to bail out donors""",6.0,0.0,50,1.0,false
"""Despite claims that you can 'keep the health care plan you like,' the Obama Administration has predicted that as many as 7 out of 10 Americans with employer-provided health coverage could lose their current health plan.""",5.967741935483871,0.17812704394997528,62,1.0,false
"""Despite the administration telling us (health care reform) was going to reduce health care costs, they now acknowledge it's going to dramatically increase health care costs.""",6.0,0.0,53,1.0,false
"""Diane Black voted to fund Obamacare.""",6.0,0.0,47,1.0,false
"""Did you know ObamaCare will cost nearly twice as much as initially expected -- $1.8 TRILLION?""",6.0,0.0,53,1.0,false
"""Did you know under President Obama family health care premiums have increased $4,154 on the average?""",6.0,0.0,44,1.0,mostly-false
"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""",5.0,0.0,50,1.0,mostly-true
"""Do you know what the second sport with the most concussions is? Women’s soccer… And the third most dangerous sport? Cheerleading.""",5.25,0.4375949744936838,48,1.0,half-true
"""Doctors kill about 250,000 people a year in botched surgeries.""",6.0,0.0,41,1.0,false
"""Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP"" say that health reform ""makes sense to do.""",3.0350877192982457,0.18563715383027588,57,1.0,mostly-true
"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",5.0,0.0,42,1.0,false
"""Drug prices are coming down, first time in 51 years because of my administration.""",5.96,0.19794866372215736,50,1.0,mostly-false
"""Drug prices in this country actually came down last year for the first time in 50 years. That’s because Donald Trump’s president.""",6.0,0.0,57,1.0,mostly-false
"""Each vegan spares more than 100 animals every year.""",5.0,0.0,43,1.0,mostly-false
"""Each year, 18,000 people die in America because they don't have health care.""",5.0212765957446805,0.14586499149789453,47,1.0,true
"""Earlier this year, Dan Patrick and Republican leadership snatched millions of dollars in benefits from retired teachers.""",6.0,0.0,56,1.0,half-true
"""Earlier this year, the head of the Congressional Budget Office testified before Congress that implementation of Obamacare would cost 800,000 jobs.""",6.0,0.0,42,1.0,mostly-false
"""Eight in 10 people this year can find plans for $75 a month or less.""",6.0,0.0,49,1.0,half-true
"""Eighty percent of those who have applied for licenses have no cancer, no Parkinson's disease or glaucoma. They have nothing you would associate [with] the use of medical marijuana.""",5.0,0.0,49,1.0,half-true
"""Eighty-seven percent of private insurance plans currently include (abortion) coverage.""",6.0,0.0,59,1.0,mostly-true
"""Elizabeth Warren doesn't think Obamacare goes far enough: ‘The next step is single payer.' Does Sen. Nelson agree? He has in the past ... Sen. Nelson votes with Warren 90 percent of the time.""",6.0,0.0,55,1.0,mostly-false
"""Emboldened by election, Texas Republicans kill Medicaid funding for kids with disabilities.""",6.0,0.0,50,1.0,pants-fire
"""Even after Obamacare is fully implemented, there still will be tens of millions of people not covered.""",5.962264150943396,0.19238024756109734,53,1.0,true
"""Even the (Congressional Budget Office) says if you lower Medicare to allow 50 year olds to get into it, you can not only save the government money, but you can lower premiums for all Americans.""",5.0,0.0,51,1.0,false
"""Even the employees’ union for the IRS -- the very people in charge of enforcing this law -- are begging to be let out from under this law.""",6.0,0.0,56,1.0,mostly-false
"""Every 1 percent increase in the cost of health insurance today causes about 30,000 Georgians to be uninsured.""",6.0,0.0,47,1.0,mostly-false
"""Every Senate Democrat has voted to support unlimited abortions up to the moment of birth.”",4.914893617021277,0.2820566728469694,47,1.0,false
"""Every county in the state of Texas has a veterans court.""",5.754098360655738,0.43419418485734507,61,1.0,false
"""Every dollar spent in the new Obamacare system ... goes to private-sector insurance companies.""",6.0,0.0,51,1.0,half-true
"""Every month, we get the reports from the Bureau of Labor Statistics that say even more people have given up looking for work.""",5.928571428571429,0.2606611802150069,42,1.0,mostly-false
"""Every other democracy in the world has a health care system that covers everybody, and we don't.""",5.0,0.0,53,1.0,false
"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions.""",6.0,0.0,59,1.0,mostly-false
"""Every survey shows strong satisfaction with private coverage.""",6.0,0.0,49,1.0,half-true
"""Every year in the United States between 3,000 and 4,500 severe vaccine reactions are reported to the Centers for Disease Control. Not mild reactions. Severe reactions that land somebody in the hospital, the intensive care unit or cause a permanent disability or death.""",6.0,0.0,51,1.0,mostly-false
"""Everyone in this country has access to health care.""",5.215686274509804,0.4153902016271484,51,1.0,mostly-false
"""Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.""",5.352941176470588,0.4826397999239061,51,1.0,false
"""Expanding Medicaid would create 63k jobs.""",5.0,0.0,60,1.0,half-true
"""Expanding Medicaid would require borrowing more money, drastically expanding our deficit.""",6.0,0.0,51,1.0,half-true
"""Explosive growth in Medicare"" is the reason federal deficit spending is predicted to top $1 trillion again after falling to $600 billion annually.",6.0,0.0,53,1.0,half-true
"""FACT: Nothing in #Obamacare forces people out of their health plans.""",6.0,0.0,48,1.0,false
"""FACT: Repealing Obamacare would be easier than repealing Prohibition.""",6.0,0.0,49,1.0,half-true
"""FDA finally admits dental fillings are toxic.""",6.0,0.0,50,1.0,mostly-false
"""Federal government reneging"" on Medicaid payments to Wisconsin caused about $240 million in extra costs in the 2013-’15 state budget.",5.0,0.0,53,1.0,false
"""Federal law requires that hospitals treat people whether or not they can pay. So someone (who) doesn’t have health insurance --  they can go to the hospital and get free care.""",6.0,0.0,63,1.0,mostly-false
"""Fentanyl is now killing more Americans than heroin or any other opioid.""",5.0,0.0,58,1.0,half-true
"""Fifty percent of Republicans are in favor of Medicare for All.""",6.0,0.0,45,1.0,mostly-false
"""Fifty-three percent of teens  in Central Falls are getting pregnant.""",6.0,0.0,47,1.0,false
"""Florida Statutes require (Attorney General Bill) McCollum to consult with members of Florida's Congressional delegation"" before filing a lawsuit against the health care reform law.",6.0,0.0,45,1.0,mostly-true
"""Florida is 49th in per capita spending on mental health care.""",6.0,0.0,45,1.0,true
"""Florida is ranked 50th in the nation for mental health care funding.""",6.0,0.0,44,1.0,mostly-true
"""For every Kentuckian that has enrolled in Obamacare, 40 have been dropped from their coverage.""",5.645833333333333,0.48332110525006233,48,1.0,pants-fire
"""For people making between $50,000 and $75,000 a year, their taxes are going up about $5,000 because the fact is, they will pay more in new taxes"" for Medicare for All.",6.0,0.0,42,1.0,mostly-false
"""For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.""",5.0,0.0,52,1.0,half-true
"""For too long, Obamacare has caused high premiums and dismal coverage. ... Under Obamacare premiums in job-based coverage have increased by $3,775""",6.0,0.0,44,1.0,mostly-false
"""For what we spend in just one week in Iraq, 800,000 children could get health insurance for an entire year.""",6.0,0.0,59,1.0,mostly-true
"""Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.""",6.0,0.0,47,1.0,false
"""Forty years ago, hardly anybody in the country had health insurance.""",6.0,0.0,57,1.0,pants-fire
"""Forty-six cents of every dollar"" Ohio could get for Medicaid expansion ""is going to come from China or some other country that doesn’t like us very much.""",6.0,0.0,51,1.0,false
"""From 2000 to 2016, every major drug that was introduced came out of"" National Institutes of Health funding.",6.0,0.0,51,1.0,half-true
"""Generally the deaths are still pretty flat because we've flattened the curve.”",5.022222222222222,0.1490711984999859,45,1.0,mostly-false
"""George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage"" for their pre-existing conditions.",6.0,0.0,54,1.0,mostly-true
"""Gingrich supported individual health insurance mandates.""",5.0,0.0,54,1.0,true
"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",5.020408163265306,0.14285714285714285,49,1.0,mostly-true
"""Gov. Scott Walker and the Republican-controlled state legislature have added over $140 million in new special interest spending""",5.0625,0.24462302739504088,48,0.0625,pants-fire
"""Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals"" in 2014.",6.0,0.0,56,1.0,true
"""Gwinnett Medical Center is operating in the negative,"" in part, because of illegal immigrants.",6.0,0.0,41,1.0,half-true
"""HIV/AIDS among women is skyrocketing in Austin.""",6.0,0.0,48,1.0,false
"""Half of all adults have a pre-existing condition"" that could affect their health care coverage.",5.0,0.0,52,1.0,mostly-true
"""Half of all hospitalized seniors are suffering from malnutrition so severe that it either caused their illness or it prevents them from getting better.""",5.829787234042553,0.3798826441307217,47,1.0,mostly-false
"""Half the country today has either diabetes or prediabetes.""",5.0,0.0,49,1.0,mostly-true
"""Health care is the greatest contribution to spending increases in the state budget.""",6.0,0.0,46,1.0,true
"""Health care mandate will require imprisonment and fines for Americans who can’t afford to purchase insurance or pay hefty government penalties.""",6.0,0.0,59,1.0,mostly-false
"""Health care premiums in North Carolina are now among the five highest states in the country.""",5.886363636363637,0.3210382206405507,44,1.0,mostly-false
"""Health care premiums up 90 percent in New Hampshire.""",6.0,0.0,58,1.0,false
"""Health insurance companies' costs are only 4 percent of all health care spending.""",6.0,0.0,52,1.0,true
"""Health insurance is more expensive in Massachusetts than anywhere else in the country.""",6.0,0.0,55,1.0,mostly-true
"""Health reform eliminates co-pays, deductibles, and other costs for preventative care and provides for free annual wellness checkups starting next year.""",6.0,0.0,53,1.0,mostly-true
"""Here in Wisconsin, prescription drug costs grew at a pace of nearly twice as much as the average Wisconsinite's income from 2015-2019.""",5.0,0.0,57,1.0,mostly-true
